nome_completo,data_nascimento,idade,rg,cpf,uf_atendimento,data_atendimento,modo_chegada,historico_comorbidades,pressao_sistolica,pressao_diastolica,frequencia_cardiaca,frequencia_respiratoria,temperatura_celsius,spo2_porcento,taxa_hesitacao_porcento,instabilidade_emocional_vocal_porcento,diagnostico_realizado,houve_internacao,urgencia_critica
Juliana Vargas,1990-12-18,35,108253466,951.067.248-30,PB,2026-03-21 02:45:59,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,110,48,96,15,35.9,100,71.99,65.41,Crise de Ansiedade,0,0
Manuela Camargo,1944-07-07,82,021583766,576.109.432-07,RJ,2026-03-04 06:29:31,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,141,79,90,19,35.8,100,28.1,78.83,Crise de Ansiedade,0,0
Pedro Henrique Castro,1971-06-08,55,356201478,579.208.416-58,PB,2025-12-31 04:43:52,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,126,96,96,23,37.2,98,4.91,61.6,Crise de Ansiedade,0,0
Agatha Silveira,1979-11-19,46,28374506X,415.368.092-33,PB,2026-01-03 08:26:31,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,84,77,95,19,35.2,96,2.06,86.99,Mialgia (Dor Muscular),0,0
Sra. Sarah Teixeira,1990-06-16,36,267504135,275.318.069-59,RR,2025-11-10 06:14:28,Acompanhada por familiares apresentando dispneia leve.,Diabetes,126,90,40,17,34.8,98,93.14,27.64,Cefaleia Tensional,0,0
Thiago Caldeira,1958-11-11,67,536812743,752.641.083-07,AL,2026-04-02 20:10:48,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,112,85,100,22,36.2,98,25.21,19.2,Mialgia (Dor Muscular),0,0
Letícia Porto,1949-09-02,77,750326189,701.593.428-05,AC,2025-12-27 21:36:22,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,106,85,68,13,35.3,96,44.79,69.73,Cefaleia Tensional,0,0
Fernanda Cassiano,2007-08-25,19,736180527,720.516.839-21,MA,2026-04-07 16:53:04,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,132,75,57,16,35.4,98,95.06,18.86,Refluxo Gastroesofágico,0,0
Sr. Vitor Hugo Vasconcelos,1994-02-11,32,035864126,237.896.415-37,BA,2025-10-26 06:54:38,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,140,61,57,16,37.0,97,46.75,9.11,Refluxo Gastroesofágico,0,0
Agatha Peixoto,1961-12-31,64,346501271,695.182.074-02,SE,2026-01-02 11:56:00,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,138,63,95,11,37.2,95,7.86,9.66,Refluxo Gastroesofágico,0,0
Dr. Antony Camargo,1954-05-13,72,042185373,260.389.541-98,MS,2026-02-27 08:31:05,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,103,90,79,15,37.1,92,55.19,76.84,Trauma Físico Severo,1,1
Dr. Isaque Araújo,1943-11-27,82,840672354,658.793.214-28,RO,2025-11-30 10:27:31,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,113,80,42,10,37.4,95,8.82,2.87,Crise de Ansiedade,0,0
Bruno Barros,1969-02-01,57,354612700,512.783.946-64,BA,2026-06-02 04:36:17,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,126,77,96,27,37.5,100,9.51,28.95,Crise de Ansiedade,0,0
Sra. Ana Lívia Teixeira,1936-04-04,90,581023742,825.039.167-59,PB,2026-05-31 14:10:36,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,139,73,49,13,34.8,96,85.15,12.92,Crise de Ansiedade,0,0
Carolina Cardoso,1994-05-19,32,063458275,351.049.827-50,SC,2026-06-14 10:51:01,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,110,75,88,25,36.9,98,28.94,75.49,Refluxo Gastroesofágico,0,0
Olívia Novaes,1964-12-13,61,68740521X,341.268.957-28,MG,2026-07-13 10:09:08,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,116,95,90,18,36.1,95,67.87,50.35,Cefaleia Tensional,0,0
João Moura,1998-04-30,28,782013648,749.318.620-04,RN,2025-10-15 21:47:26,Acompanhada por familiares apresentando dispneia leve.,Diabetes,97,74,107,20,35.9,92,50.89,20.55,Infarto Agudo do Miocárdio,1,1
Mariana Cunha,1961-08-15,65,235148672,031.468.752-17,MS,2026-08-04 03:24:16,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,96,59,129,15,36.9,96,22.23,75.04,Mialgia (Dor Muscular),1,0
Gabriela Silva,2004-10-07,21,307854164,960.834.512-05,RJ,2025-10-24 02:13:28,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,136,91,50,19,35.1,92,51.78,75.04,Crise Hipertensiva Severa,0,1
Murilo Rios,1996-10-18,29,580172636,205.768.913-12,RR,2026-07-21 18:23:43,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,147,76,83,21,35.1,92,6.9,52.3,Crise Hipertensiva Severa,1,1
Maria Fernanda Macedo,1967-06-04,59,738251604,628.903.147-31,SP,2025-09-28 17:48:49,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,118,80,78,21,37.0,100,34.72,27.58,Crise de Ansiedade,0,0
Milena Campos,1997-08-14,29,413827501,516.720.943-99,MT,2026-03-22 18:55:03,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,140,104,95,21,36.9,95,52.28,58.63,Cefaleia Tensional,0,0
Henry Gabriel Azevedo,1957-09-05,69,281674036,214.058.793-60,ES,2026-01-04 14:27:10,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,127,79,90,16,36.6,94,22.84,93.35,Refluxo Gastroesofágico,0,0
Sr. Yuri da Conceição,2008-09-16,18,084735168,906.543.281-70,SC,2026-04-29 22:13:43,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,107,84,76,15,35.8,100,66.02,5.16,Refluxo Gastroesofágico,0,0
Hellena Abreu,1941-11-22,84,064218351,690.873.521-40,TO,2025-09-27 17:32:20,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,127,62,73,10,37.1,100,5.18,26.69,Crise de Ansiedade,0,0
Bento da Conceição,1982-09-17,44,163784206,936.805.214-05,MA,2026-07-21 15:36:09,Acompanhada por familiares apresentando dispneia leve.,Asma,150,76,57,20,37.0,95,48.48,28.5,Crise de Ansiedade,0,0
Arthur Gabriel Farias,1964-03-05,62,453286100,264.051.973-52,RS,2026-05-15 02:37:45,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,119,89,109,23,36.6,98,71.5,63.18,Cefaleia Tensional,0,0
Théo da Costa,1970-02-20,56,124563806,529.734.601-07,RR,2026-01-30 08:33:10,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,151,56,96,26,35.6,96,42.99,65.12,Crise de Ansiedade,0,0
Ryan Cunha,2005-03-05,21,601835724,163.908.475-48,AM,2026-02-08 01:46:30,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,70,83,107,19,36.2,94,87.46,20.63,Crise de Ansiedade,0,0
Caroline Silveira,1955-10-14,70,752410866,139.405.768-75,AL,2026-09-17 18:53:14,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,136,81,77,14,37.2,98,63.22,21.61,Crise de Ansiedade,0,0
Olívia da Cruz,1982-12-27,43,705418637,980.754.213-88,PB,2026-07-01 06:27:12,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,121,80,68,10,37.6,95,95.85,92.82,Refluxo Gastroesofágico,0,0
Maria Luísa Correia,1959-04-30,67,156870320,597.831.260-59,SP,2026-04-20 04:44:06,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,114,95,58,23,36.2,97,28.41,75.63,Crise de Ansiedade,0,0
Calebe Ribeiro,1946-01-01,80,620541830,289.140.657-58,MA,2026-01-29 20:23:51,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,121,85,93,10,36.3,100,93.88,93.43,Cefaleia Tensional,0,0
Maria Lima,1953-11-27,72,814630273,836.942.170-96,MA,2026-03-19 19:48:42,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,80,102,59,16,36.4,100,60.68,82.97,Mialgia (Dor Muscular),0,0
Nina Siqueira,1976-12-10,49,160743588,846.973.105-00,ES,2026-08-07 18:59:38,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,115,65,131,16,36.7,94,74.52,40.21,Crise Hipertensiva Severa,0,1
Carlos Eduardo Araújo,1945-01-25,81,518423670,584.623.170-53,AL,2025-10-20 11:56:13,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,127,82,52,17,36.0,98,90.22,12.19,Refluxo Gastroesofágico,0,0
Maitê Caldeira,1947-02-06,79,213450860,370.512.469-25,DF,2025-12-11 19:51:37,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,149,81,91,18,34.2,92,55.12,62.96,Crise Hipertensiva Severa,1,1
Gael Correia,1986-06-21,40,537481060,580.473.691-48,TO,2026-03-03 01:18:11,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,109,63,124,18,37.5,98,86.22,35.2,Infarto Agudo do Miocárdio,0,1
Melissa Carvalho,1991-05-18,35,271485607,783.091.542-32,RS,2025-10-29 07:23:49,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,103,94,99,10,37.9,97,54.17,42.54,Crise de Ansiedade,0,0
Emilly da Mota,1940-03-12,86,12853607X,587.129.460-01,CE,2025-10-28 18:35:30,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,109,114,89,18,36.0,98,59.92,42.59,Mialgia (Dor Muscular),0,0
Isadora Barbosa,1994-04-21,32,234861502,124.690.538-89,AC,2025-11-10 05:44:13,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,138,79,60,10,35.6,95,44.51,93.65,Mialgia (Dor Muscular),0,0
Beatriz Aragão,1998-12-22,27,280765137,930.467.582-00,PI,2025-10-04 23:07:05,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,126,87,50,21,36.4,100,14.56,6.89,Cefaleia Tensional,0,0
Ágatha Albuquerque,1983-12-24,42,435180769,021.859.763-03,AM,2026-05-12 07:08:08,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,109,81,104,15,36.3,93,55.35,19.31,Refluxo Gastroesofágico,0,0
Isaac Cavalcante,1962-11-12,63,538016723,136.420.597-16,SC,2026-06-21 06:41:47,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,130,69,122,10,37.3,100,97.74,60.79,Insuficiência Respiratória,1,1
Raquel Mendes,1966-01-06,60,302514764,652.130.479-80,GO,2025-12-15 13:31:11,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,121,52,74,13,36.5,92,78.72,88.38,Trauma Físico Severo,1,1
Murilo Araújo,1947-03-24,79,782105348,795.046.832-74,AC,2025-11-25 14:02:04,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,139,69,56,15,35.9,99,74.75,91.79,Crise de Ansiedade,0,0
Mateus Abreu,1948-04-25,78,024837519,260.319.845-98,AP,2026-03-11 16:27:06,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,105,59,40,23,35.4,99,64.33,55.87,Cefaleia Tensional,0,0
Julia Viana,2004-01-30,22,461052386,326.984.517-00,PE,2026-08-12 18:49:04,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,113,105,60,18,37.2,97,34.79,3.46,Mialgia (Dor Muscular),0,0
Laura Lima,2006-03-13,20,783260544,310.685.479-01,GO,2026-06-04 02:50:36,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,112,78,82,19,37.0,95,16.96,36.29,Cefaleia Tensional,0,0
Dra. Raquel Cassiano,1989-11-22,36,215076436,437.586.109-66,AM,2026-07-11 01:33:06,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,90,74,124,23,37.3,97,22.46,91.88,Refluxo Gastroesofágico,0,0
Juan Cunha,1994-11-19,31,743801258,852.043.719-23,PI,2026-05-15 19:59:08,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,125,93,101,17,35.7,98,0.63,49.99,Cefaleia Tensional,0,0
Vitor Hugo Araújo,1948-12-26,77,102846753,829.710.564-49,MG,2026-08-31 13:16:14,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,125,63,92,21,38.0,100,67.35,72.66,Mialgia (Dor Muscular),0,0
Sra. Ana Laura Aragão,1999-11-26,26,621408530,258.467.190-58,RR,2026-01-12 04:20:12,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,120,68,74,21,35.1,93,81.19,26.92,Mialgia (Dor Muscular),0,0
Pietra Montenegro,1943-09-18,83,704823615,307.482.591-04,MA,2026-07-09 20:02:02,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,115,81,70,11,37.1,94,26.89,2.5,Crise de Ansiedade,0,0
Eduarda Araújo,1947-08-01,79,683071245,706.389.425-00,CE,2025-12-17 00:29:59,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,91,95,120,25,35.0,98,9.19,57.84,Refluxo Gastroesofágico,1,0
Anna Liz Cirino,1972-01-19,54,214638704,495.273.681-46,BA,2026-07-05 03:18:24,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,111,87,90,10,35.9,95,33.57,83.5,Cefaleia Tensional,0,0
Bernardo Rocha,1958-01-26,68,486250179,193.602.748-87,DF,2026-06-30 19:49:49,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,113,83,40,22,37.7,96,29.21,99.03,Mialgia (Dor Muscular),0,0
Nathan Campos,1981-05-18,45,635241808,310.826.945-33,MS,2026-04-05 00:38:25,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,103,81,68,10,37.2,100,45.09,84.66,Cefaleia Tensional,1,0
Isadora Pacheco,2002-02-01,24,65024381X,963.427.510-99,RJ,2025-10-25 09:52:45,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,116,86,63,21,36.1,85,26.41,55.4,Infarto Agudo do Miocárdio,1,1
Ana Cecília Pinto,1955-02-01,71,326185409,108.924.536-05,PA,2026-01-09 15:24:32,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,128,83,71,27,36.1,94,33.97,60.87,Refluxo Gastroesofágico,0,0
Otto Ribeiro,1959-03-03,67,148263501,263.517.904-25,AC,2026-03-27 10:54:14,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,157,64,99,16,36.6,90,90.76,82.42,Crise Hipertensiva Severa,1,1
Stephany Dias,1992-11-28,33,582710637,712.398.056-59,MS,2026-08-30 11:43:05,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,123,80,82,16,36.9,92,33.48,1.98,Trauma Físico Severo,1,1
Gustavo Rios,1959-12-08,66,874560214,237.614.058-71,DF,2026-08-01 13:30:48,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,125,63,83,21,37.5,100,78.55,95.16,Cefaleia Tensional,0,0
Sra. Isabella da Luz,2000-08-12,26,23580714X,694.730.521-70,RR,2026-01-17 05:50:18,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,118,81,117,16,36.1,99,62.58,53.12,Mialgia (Dor Muscular),1,0
Caroline Rios,1938-03-24,88,356172405,901.432.768-40,TO,2025-11-16 12:19:19,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,81,72,67,27,35.2,100,33.75,95.21,Refluxo Gastroesofágico,0,0
Letícia Marques,1999-05-22,27,502418734,562.147.039-70,RO,2026-08-01 13:55:18,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,119,118,131,18,36.6,96,81.78,76.45,Infarto Agudo do Miocárdio,1,1
Sr. Anthony Marques,2002-06-03,24,30651784X,197.056.432-61,RR,2026-05-29 16:59:29,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,121,79,68,16,36.1,100,59.51,15.23,Cefaleia Tensional,0,0
